rxn	LB	UB
MAR03905	0	1105.77
MAR03907	0	214.993
MAR04097	0	30.9805
MAR04099	0	6.61016
MAR04108	0	30.9805
MAR04133	0	30.9805
MAR04281	-704.341	704.341
MAR04388	-704.341	704.341
MAR04283	0	2.15049
MAR08357	0	876.22
MAR04379	0	18.5787
MAR04301	0	18.5787
MAR04355	0	1300.67
MAR04358	0	98.6716
MAR04363	-134.95	134.95
MAR04365	-51.4443	51.4443
MAR04368	-134.733	134.733
MAR04370	0	3.92413
MAR04371	0	51.4443
MAR04372	0	3.92413
MAR04373	-537.065	537.065
MAR04375	-1300.67	1300.67
MAR04377	0	456.311
MAR04381	-90.2876	90.2876
MAR04391	-225.466	225.466
MAR04394	0	46.1102
MAR04396	-103.738	103.738
MAR04521	0	186.245
MAR06412	0	5.55538
MAR07745	-41.8546	41.8546
MAR07747	0	4.87647
MAR08360	0	750.994
MAR08652	0	186.245
MAR08757	0	3221.98
MAR03989	0	29.4104
MAR04122	0	32.8691
MAR04837	0	16.0847
MAR05395	0	1.98327
MAR05396	0	33.3426
MAR09727	0	51.1178
MAR05397	0	27.2316
MAR05398	0	111.641
MAR05399	0	7.22067
MAR05400	0	7.22067
MAR05401	0	111.641
MAR08568	0	120.245
MAR08569	0	120.245
MAR08570	0	120.245
MAR08571	0	120.245
MAR08572	0	120.245
MAR08573	0	120.245
MAR08574	0	120.245
MAR08575	0	120.245
MAR08576	0	120.245
MAR08577	0	120.245
MAR08578	0	120.245
MAR08579	0	120.245
MAR08581	0	120.245
MAR08591	0	14.7241
MAR08592	0	29.4104
MAR08580	0	120.245
MAR08582	0	120.245
MAR08587	0	14.7241
MAR08589	0	29.4104
MAR08583	0	14.7241
MAR08584	0	0.01
MAR08585	0	0.481295
MAR03944	0	90.0653
MAR04128	-4.30318	4.30318
MAR04130	0	47.8268
MAR04131	-29.7951	29.7951
MAR04132	0	29.7951
MAR04303	0	29.4104
MAR04414	0	47.8268
MAR04415	0	0.01
MAR04416	0	154.492
MAR04774	-18.5787	18.5787
MAR04775	-18.5787	18.5787
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	12.8055
MAR08761	0	293.752
MAR08762	-1300.67	1300.67
MAR08764	0	0.01
MAR08766	-3.43728	3.43728
MAR08767	0	29.7951
MAR00454	0	1000
MAR04297	0	4.12023
MAR04310	0	293.752
MAR04315	-633.766	633.766
MAR04316	-3.43728	3.43728
MAR04317	0	36.3824
MAR04318	0	36.3824
MAR04319	0	2.85349
MAR04320	0	36.3824
MAR04356	0	1300.67
MAR04383	-4.75441	4.75441
MAR04385	0	22.718
MAR04386	0	16.9728
MAR04387	0	9.63221
MAR04399	0	1.27394
MAR04400	0	17.5583
MAR04401	0	2.57635
MAR04402	-3.88471	3.88471
MAR04403	0	1000
MAR04490	0	2.85349
MAR04706	0	4.12023
MAR08768	0	17.5583
MAR04590	0	146.906
MAR04591	0	129.754
MAR04592	-3.43728	3.43728
MAR04593	0	633.766
MAR04594	0	48.8194
MAR04595	-40.4793	40.4793
MAR08341	0	214.993
MAR08342	-1000	1000
MAR08344	-214.993	214.993
MAR08352	-14.7168	14.7168
MAR08353	-1000	1000
MAR08726	0	7.55093
MAR08727	0	17.989
MAR08728	0	1000
MAR08729	0	1.78048
MAR06537	-214.993	214.993
MAR01568	0	2.15049
MAR03853	0	370.062
MAR03854	0	3.43728
MAR03855	0	3.43728
MAR03857	0	148.757
MAR03859	0	45.415
MAR04087	0	1.69914
MAR04089	0	36.534
MAR04091	0	1.69914
MAR04093	0	45.544
MAR04095	0	45.544
MAR04101	0	990.951
MAR04103	0	1.05278
MAR04143	0	155.955
MAR04193	0	98.6716
MAR08497	0	214.993
MAR08498	0	3221.98
MAR08499	0	3221.98
MAR08500	0	214.993
MAR08501	0	172.977
MAR08502	-1105.77	1105.77
MAR08503	0	162.768
MAR08504	0	876.22
MAR08506	0	876.22
MAR08507	0	1105.77
MAR08508	0	1105.77
MAR08509	0	214.993
MAR08511	0	148.757
MAR08512	-45.415	45.415
MAR08514	0	45.415
MAR08516	0	10.0627
MAR08517	0	1000
MAR04280	-2.83423	2.83423
MAR00153	0	30.9805
MAR03212	0	299.651
MAR03797	0	30.9805
MAR03800	0	26.6533
MAR04105	0	46.6222
MAR04106	0	46.6222
MAR04107	0	46.6222
MAR04282	0	139.035
MAR04331	-30.9805	30.9805
MAR04459	0	30.9805
MAR04460	0	30.9805
MAR04464	0	1000
MAR04497	0	321.904
MAR04741	0	33.8842
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-352.357	352.357
MAR00718	0	13.9698
MAR00719	0	0.251804
MAR01434	-189.351	189.351
MAR01436	0	19.8425
MAR03163	0	299.651
MAR04461	-219.981	219.981
MAR04604	0	144.378
MAR05351	-2.83423	2.83423
MAR07709	-115.925	115.925
MAR04052	0	11.2852
MAR04304	0	2.02421
MAR04350	-7.55093	7.55093
MAR04351	-4.75844	4.75844
MAR04352	-4.75844	4.75844
MAR04354	-103.738	103.738
MAR04398	-33.4206	33.4206
MAR04404	-38.7046	38.7046
MAR04473	0	14.5645
MAR04474	0	14.5645
MAR04476	-20.6252	20.6252
MAR04477	-7.41194	7.41194
MAR04501	-38.7046	38.7046
MAR04565	-66.9336	66.9336
MAR04567	0	18.5787
MAR09799	-25.3593	25.3593
MAR09800	-293.752	293.752
MAR04623	0	72.9441
MAR04625	0	40.3034
MAR04710	-103.738	103.738
MAR04841	-2.15049	2.15049
MAR08074	0	7.55093
MAR08653	-72.9441	72.9441
MAR03998	0	67.1299
MAR04000	0	35.6494
MAR04002	-137.166	137.166
MAR04004	-137.166	137.166
MAR04010	0	24.2151
MAR04081	0	24.2151
MAR04082	0	24.2151
MAR04012	0	218.313
MAR04014	0	11.2549
MAR04020	-20.3504	20.3504
MAR04022	0	35.6494
MAR04038	-7.92258	7.92258
MAR04040	0	19.0608
MAR04042	0	16.7279
MAR04046	0	4.81106
MAR04048	0	11.2549
MAR04080	0	13.9059
MAR04085	0	23.268
MAR04086	0	23.268
MAR04134	0	67.1299
MAR04135	-20.3504	20.3504
MAR04168	0	9.17909
MAR04171	0	98.6716
MAR04290	0	41.6199
MAR04406	0	3.354
MAR04412	-8.68348	8.68348
MAR04417	0	24.2151
MAR04418	0	18.7839
MAR04419	0	8.19416
MAR04421	0	98.6716
MAR04449	0	24.2151
MAR04450	0	24.2151
MAR04451	0	1000
MAR04452	0	18.7839
MAR04453	0	4.81106
MAR04480	-299.651	299.651
MAR04481	0	1.83603
MAR04482	0	1.83603
MAR04486	0	2.85349
MAR04487	0	2.85349
MAR04488	0	2.85349
MAR04489	0	2.85349
MAR04492	0	2.85349
MAR04493	0	2.85349
MAR04495	0	2.85349
MAR04496	0	2.85349
MAR04518	0	4.55297
MAR04519	0	26.4047
MAR04520	0	26.4047
MAR04573	0	98.6716
MAR04574	-47.8182	47.8182
MAR04600	0	11.19
MAR04602	0	24.2151
MAR04603	-47.8182	47.8182
MAR04611	0	0.109044
MAR04612	0	0.109044
MAR04614	0	0.109044
MAR04615	0	0.109044
MAR04617	0	0.109044
MAR04618	0	0.109044
