rxn	LB	UB
MAR03905	0	1377.48
MAR03907	0	223.393
MAR04097	0	39.4305
MAR04099	0	5.11344
MAR04108	0	39.4305
MAR04133	0	39.4305
MAR04281	-588.522	588.522
MAR04388	-588.522	588.522
MAR04283	0	2.71143
MAR08357	0	1066.65
MAR04379	0	20.8726
MAR04301	0	20.8726
MAR04355	0	1431.05
MAR04358	0	50.9172
MAR04363	-198.954	198.954
MAR04365	-58.1347	58.1347
MAR04368	-158.332	158.332
MAR04370	0	6.51112
MAR04371	0	58.1347
MAR04372	0	6.51112
MAR04373	-623.885	623.885
MAR04375	-1431.05	1431.05
MAR04377	0	558.452
MAR04381	-102.386	102.386
MAR04391	-306.259	306.259
MAR04394	0	69.3407
MAR04396	-103.579	103.579
MAR04521	0	58.34
MAR06412	0	5.24549
MAR07745	-34.8768	34.8768
MAR07747	0	5.9185
MAR08360	0	1101.42
MAR08652	0	58.34
MAR08757	0	2988.86
MAR03989	0	27.1171
MAR04122	0	48.3489
MAR04837	0	13.6431
MAR05395	0	1.41
MAR05396	0	22.1356
MAR09727	0	33.5588
MAR05397	0	19.4203
MAR05398	0	112.903
MAR05399	0	7.31655
MAR05400	0	7.31655
MAR05401	0	112.903
MAR08568	0	99.4023
MAR08569	0	99.4023
MAR08570	0	99.4023
MAR08571	0	99.4023
MAR08572	0	99.4023
MAR08573	0	99.4023
MAR08574	0	99.4023
MAR08575	0	99.4023
MAR08576	0	99.4023
MAR08577	0	99.4023
MAR08578	0	99.4023
MAR08579	0	99.4023
MAR08581	0	99.4023
MAR08591	0	13.363
MAR08592	0	27.1171
MAR08580	0	99.4023
MAR08582	0	99.4023
MAR08587	0	13.363
MAR08589	0	27.1171
MAR08583	0	13.363
MAR08584	0	0.01
MAR08585	0	0.255478
MAR03944	0	69.8625
MAR04128	-16.6337	16.6337
MAR04130	0	30.2979
MAR04131	-37.1992	37.1992
MAR04132	0	37.1992
MAR04303	0	27.1171
MAR04414	0	30.2979
MAR04415	0	0.01
MAR04416	0	146.124
MAR04774	-20.8726	20.8726
MAR04775	-20.8726	20.8726
MAR04831	-1000	1000
MAR04832	-0.01	0.01
MAR07674	0	10.479
MAR08761	0	246.831
MAR08762	-1431.05	1431.05
MAR08764	0	0.01
MAR08766	-9.85466	9.85466
MAR08767	0	37.1992
MAR00454	0	1000
MAR04297	0	4.83701
MAR04310	0	246.831
MAR04315	-292.227	292.227
MAR04316	-9.85466	9.85466
MAR04317	0	30.5895
MAR04318	0	30.5895
MAR04319	0	6.21056
MAR04320	0	30.5895
MAR04356	0	1431.05
MAR04383	-6.78336	6.78336
MAR04385	0	24.1594
MAR04386	0	17.4829
MAR04387	0	12.0131
MAR04399	0	1.32083
MAR04400	0	15.7618
MAR04401	0	2.43918
MAR04402	-3.72638	3.72638
MAR04403	0	1000
MAR04490	0	6.21056
MAR04706	0	4.83701
MAR08768	0	15.7618
MAR04590	0	166.638
MAR04591	0	174.728
MAR04592	-9.85466	9.85466
MAR04593	0	292.227
MAR04594	0	35.5291
MAR04595	-37.6386	37.6386
MAR08341	0	223.393
MAR08342	-1000	1000
MAR08344	-223.393	223.393
MAR08352	-18.713	18.713
MAR08353	-1000	1000
MAR08726	0	9.14903
MAR08727	0	12.7481
MAR08728	0	1000
MAR08729	0	1.58195
MAR06537	-223.393	223.393
MAR01568	0	2.71143
MAR03853	0	306.556
MAR03854	0	9.85466
MAR03855	0	9.85466
MAR03857	0	213.557
MAR03859	0	73.5387
MAR04087	0	2.20018
MAR04089	0	21.8805
MAR04091	0	2.20018
MAR04093	0	31.0664
MAR04095	0	31.0664
MAR04101	0	463.931
MAR04103	0	1.96341
MAR04143	0	163.951
MAR04193	0	50.9172
MAR08497	0	223.393
MAR08498	0	2988.86
MAR08499	0	2988.86
MAR08500	0	223.393
MAR08501	0	153.225
MAR08502	-1377.48	1377.48
MAR08503	0	277.551
MAR08504	0	1066.65
MAR08506	0	1066.65
MAR08507	0	1377.48
MAR08508	0	1377.48
MAR08509	0	223.393
MAR08511	0	213.557
MAR08512	-73.5387	73.5387
MAR08514	0	73.5387
MAR08516	0	8.00071
MAR08517	0	1000
MAR04280	-1.70643	1.70643
MAR00153	0	39.4305
MAR03212	0	163.95
MAR03797	0	39.4305
MAR03800	0	26.4743
MAR04105	0	23.0012
MAR04106	0	23.0012
MAR04107	0	23.0012
MAR04282	0	121.862
MAR04331	-39.4305	39.4305
MAR04459	0	39.4305
MAR04460	0	39.4305
MAR04464	0	1000
MAR04497	0	477.996
MAR04741	0	31.0345
MAR08078	0	1000
MAR09803	-1000	1000
MAR09804	-418.31	418.31
MAR00718	0	13.9922
MAR00719	0	0.01
MAR01434	-252.704	252.704
MAR01436	0	19.8223
MAR03163	0	163.95
MAR04461	-135.895	135.895
MAR04604	0	100.681
MAR05351	-1.70643	1.70643
MAR07709	-80.0231	80.0231
MAR04052	0	12.94
MAR04304	0	2.39657
MAR04350	-9.14903	9.14903
MAR04351	-2.08485	2.08485
MAR04352	-2.08485	2.08485
MAR04354	-103.579	103.579
MAR04398	-34.9414	34.9414
MAR04404	-39.3351	39.3351
MAR04473	0	18.919
MAR04474	0	18.919
MAR04476	-16.6578	16.6578
MAR04477	-7.99629	7.99629
MAR04501	-39.3351	39.3351
MAR04565	-90.2598	90.2598
MAR04567	0	20.8726
MAR09799	-21.3941	21.3941
MAR09800	-246.831	246.831
MAR04623	0	95.6126
MAR04625	0	34.907
MAR04710	-103.579	103.579
MAR04841	-2.71143	2.71143
MAR08074	0	9.14903
MAR08653	-95.6126	95.6126
MAR03998	0	53.5448
MAR04000	0	24.3965
MAR04002	-137.591	137.591
MAR04004	-137.591	137.591
MAR04010	0	24.0223
MAR04081	0	24.0223
MAR04082	0	24.0223
MAR04012	0	237.34
MAR04014	0	12.4224
MAR04020	-28.7927	28.7927
MAR04022	0	24.3965
MAR04038	-10.7226	10.7226
MAR04040	0	21.8963
MAR04042	0	20.462
MAR04046	0	5.13701
MAR04048	0	12.4224
MAR04080	0	9.86864
MAR04085	0	34.5057
MAR04086	0	34.5057
MAR04134	0	53.5448
MAR04135	-28.7927	28.7927
MAR04168	0	9.60191
MAR04171	0	50.9172
MAR04290	0	30.3067
MAR04406	0	2.55543
MAR04412	-10.0818	10.0818
MAR04417	0	24.0223
MAR04418	0	26.3793
MAR04419	0	5.35773
MAR04421	0	50.9172
MAR04449	0	24.0223
MAR04450	0	24.0223
MAR04451	0	1000
MAR04452	0	26.3793
MAR04453	0	5.13701
MAR04480	-222.321	222.321
MAR04481	0	1.88245
MAR04482	0	1.88245
MAR04486	0	6.21056
MAR04487	0	6.21056
MAR04488	0	6.21056
MAR04489	0	6.21056
MAR04492	0	6.21056
MAR04493	0	6.21056
MAR04495	0	6.21056
MAR04496	0	6.21056
MAR04518	0	3.1747
MAR04519	0	39.8415
MAR04520	0	39.8415
MAR04573	0	50.9172
MAR04574	-65.7301	65.7301
MAR04600	0	6.62961
MAR04602	0	24.0223
MAR04603	-65.7301	65.7301
MAR04611	0	0.434696
MAR04612	0	0.434696
MAR04614	0	0.434696
MAR04615	0	0.434696
MAR04617	0	0.434696
MAR04618	0	0.434696
MAR04619	0	0.434696
MAR04621	0	0.434696
MAR04632	0	24.0223
MAR04646	0	39.8415
MAR04648	0	39.8415
MAR04649	0	39.8415
MAR04650	0	39.8415
MAR04651	-65.7301	65.7301
MAR04663	-65.7301	65.7301
MAR04664	0	26.3793
MAR04694	0	1.88245
MAR04695	-65.7301	65.7301
MAR04705	0	24.0223
MAR04709	-65.7301	65.7301
MAR04799	0	14.2965
MAR04802	0	14.2965
MAR04804	-58.5132	58.5132
MAR04808	0	1.84478
MAR04810	0	58.5132
MAR04812	-10.0818	10.0818
MAR04814	-10.7226	10.7226
MAR05301	0	16.3288
MAR05353	-28.7927	28.7927
MAR06601	0	0.01
MAR06602	-217.908	217.908
MAR06603	-217.908	217.908
MAR06605	-1000	1000
MAR06606	-1000	1000
MAR06607	-1000	1000
MAR06609	-1000	1000
MAR06610	0	1000
MAR06611	-1000	1000
MAR07144	0	27.3447
MAR08755	0	39.8415
MAR09797	0	1000
MAR04016	-172.333	172.333
MAR04018	-172.333	172.333
MAR04044	-172.333	172.333
MAR04291	-172.333	172.333
MAR04420	0	172.333
MAR04570	-172.333	172.333
MAR04572	0	172.333
MAR04006	-172.333	172.333
MAR04028	-172.333	172.333
MAR04030	-172.333	172.333
MAR04670	-172.333	172.333
MAR04673	-172.333	172.333
MAR04675	0	172.333
MAR06614	-172.333	172.333
MAR06615	-172.333	172.333
MAR06616	-172.333	172.333
MAR04635	-172.333	172.333
MAR03793	-40.1651	40.1651
MAR03931	0	40.469
MAR03969	0	16.3288
MAR03970	0	24.0223
MAR04008	-16.6439	16.6439
MAR04032	0	2.28499
MAR04034	0	3.33762
MAR04036	0	14.3177
MAR04050	-3.33762	3.33762
MAR04056	0	24.0223
MAR04059	0	53.5448
MAR04060	0	53.5448
MAR04127	0	16.9398
MAR04177	0	24.0223
MAR04179	0	24.0223
MAR04182	0	30.5895
MAR04183	0	30.3067
MAR04192	0	30.3067
MAR04194	0	2.28499
MAR04210	0	50.9172
MAR04211	0	9.60191
MAR04343	0	0.275537
MAR04345	-101.737	101.737
MAR04346	0	121.985
MAR04470	0	101.737
MAR04471	0	101.737
MAR04472	0	101.737
MAR04484	0	24.0223
MAR04485	-107.001	107.001
MAR04510	0	24.0223
MAR04512	-16.6439	16.6439
MAR04513	0	1.8586
MAR04514	0	10.1443
MAR04577	0	14.3177
MAR04579	-27.6225	27.6225
MAR04580	0	10.1443
MAR04608	-3.33762	3.33762
MAR04575	-4.45704	4.45704
MAR04637	-9.99967	9.99967
MAR04642	0	24.0223
MAR04643	0	9.60191
MAR04644	-1.30642	1.30642
MAR04672	0	1000
MAR04676	0	16.3288
MAR04736	0	121.985
MAR04819	0	80.7934
MAR05299	0	16.3288
MAR05352	0	16.3288
